Objective,Artifact_ID,HLR_ID,LLR_ID,Code_Ref,Test_ID,Coverage_Target,Coverage_Achieved,Coverage_Report,Reviewer,Reviewer_Role,Review_Date,Status,DET_ID,Commit
A-1_High_Level_Requirements,HLR-001,HLR-001,LLR-001,kernel/arinc653_partition.c:44-53,TEST-001,Statement,70.4%,coverage_html/index.html,IVV-01,Independent,2025-08-22,Reviewed,DET-2F94,df49668
A-1_High_Level_Requirements,HLR-002,HLR-002,LLR-002,kernel/arinc653_partition.c:55-88,TEST-002,Branch,49.3%,coverage-branch.xml,IVV-03,Independent,2025-08-22,Reviewed,DET-A525,df49668
A-1_High_Level_Requirements,HLR-003,HLR-003,LLR-003,kernel/core/simplex_safety_monitor.c:23-42,TEST-003,MCDC,≥95%,reports/mcdc.html,IVV-02,Independent,2025-08-22,Reviewed,DET-0D43,df49668
A-1_High_Level_Requirements,HLR-004,HLR-004,LLR-004,kernel/core/simplex_safety_monitor.c:67-101,TEST-004,Statement,70.4%,coverage_html/index.html,IVV-02,Independent,2025-08-22,Reviewed,DET-11E1,df49668
A-1_High_Level_Requirements,HLR-005,HLR-005,LLR-005,src/tsn_sim.c:15-23,TEST-005,Branch,49.3%,coverage-branch.xml,IVV-02,Independent,2025-08-22,Reviewed,DET-53FE,df49668
A-2_Low_Level_Requirements,LLR-001,HLR-001,LLR-001,kernel/arinc653_partition.c:9-11,TEST-001,Statement,70.4%,coverage_html/index.html,IVV-02,Independent,2025-08-22,Reviewed,DET-5C22,df49668
A-2_Low_Level_Requirements,LLR-002,HLR-002,LLR-002,kernel/arinc653_partition.c:56-62,TEST-002,Branch,49.3%,coverage-branch.xml,IVV-01,Independent,2025-08-22,Reviewed,DET-B815,df49668
A-2_Low_Level_Requirements,LLR-003,HLR-003,LLR-003,kernel/core/simplex_safety_monitor.h:17-39,TEST-003,MCDC,≥95%,reports/mcdc.html,IVV-01,Independent,2025-08-22,Reviewed,DET-10DF,df49668
A-2_Low_Level_Requirements,LLR-004,HLR-004,LLR-004,kernel/core/simplex_safety_monitor.c:103-125,TEST-004,Statement,70.4%,coverage_html/index.html,IVV-03,Independent,2025-08-22,Reviewed,DET-FFEC,df49668
A-2_Low_Level_Requirements,LLR-005,HLR-005,LLR-005,src/tsn_sim.c:8-13,TEST-005,Branch,49.3%,coverage-branch.xml,IVV-03,Independent,2025-08-22,Reviewed,DET-7006,df49668
A-3_Software_Architecture,ARCH-001,HLR-001,LLR-001,kernel/arinc653_partition.h:1-20,TEST-001,Statement,70.4%,coverage_html/index.html,IVV-01,Independent,2025-08-22,Reviewed,DET-0E52,df49668
A-3_Software_Architecture,ARCH-002,HLR-002,LLR-002,kernel/config/partition_table.yaml:1-95,TEST-002,Branch,49.3%,coverage-branch.xml,IVV-01,Independent,2025-08-22,Reviewed,DET-1D84,df49668
A-3_Software_Architecture,ARCH-003,HLR-003,LLR-003,kernel/core/simplex_safety_monitor.h:1-67,TEST-003,MCDC,≥95%,reports/mcdc.html,IVV-03,Independent,2025-08-22,Reviewed,DET-28BA,df49668
A-3_Software_Architecture,ARCH-004,HLR-004,LLR-004,kernel/core/wcet_profiles.csv:1-21,TEST-004,Statement,70.4%,coverage_html/index.html,IVV-01,Independent,2025-08-22,Reviewed,DET-424D,df49668
A-3_Software_Architecture,ARCH-005,HLR-005,LLR-005,include/tsn_sim.h:1-10,TEST-005,Branch,49.3%,coverage-branch.xml,IVV-02,Independent,2025-08-22,Reviewed,DET-8004,df49668
A-4_Source_Code,CODE-001,HLR-001,LLR-001,kernel/arinc653_partition.c:1-93,TEST-001,Statement,70.4%,coverage_html/index.html,IVV-02,Independent,2025-08-22,Reviewed,DET-D07D,df49668
A-4_Source_Code,CODE-002,HLR-002,LLR-002,kernel/arinc653_partition.c:44-88,TEST-002,Branch,49.3%,coverage-branch.xml,IVV-02,Independent,2025-08-22,Reviewed,DET-6D42,df49668
A-4_Source_Code,CODE-003,HLR-003,LLR-003,kernel/core/simplex_safety_monitor.c:1-264,TEST-003,MCDC,≥95%,reports/mcdc.html,IVV-03,Independent,2025-08-22,Reviewed,DET-E066,df49668
A-4_Source_Code,CODE-004,HLR-004,LLR-004,src/tsn_sim.c:1-21,TEST-004,Statement,70.4%,coverage_html/index.html,IVV-01,Independent,2025-08-22,Reviewed,DET-2313,df49668
A-4_Source_Code,CODE-005,HLR-005,LLR-005,tests/ata27_flight_ctrl_host.c:1-93,TEST-005,Branch,49.3%,coverage-branch.xml,IVV-02,Independent,2025-08-22,Reviewed,DET-19B2,df49668
A-5_Object_Code,OBJ-001,HLR-001,LLR-001,out/tests_ata27_flight_ctrl_host,TEST-001,Statement,70.4%,coverage_html/index.html,IVV-03,Independent,2025-08-22,Reviewed,DET-0796,df49668
A-5_Object_Code,OBJ-002,HLR-002,LLR-002,out/integration_demo,TEST-002,Branch,49.3%,coverage-branch.xml,IVV-03,Independent,2025-08-22,Reviewed,DET-F64A,df49668
A-5_Object_Code,OBJ-003,HLR-003,LLR-003,build/CMakeFiles/envelope_checker_tests.dir/kernel/core/simplex_safety_monitor.c.o,TEST-003,MCDC,≥95%,cert/evidence/OBJ-003.nm,IVV-03,Independent,2025-08-22,Reviewed,DET-CF67,df49668
A-5_Object_Code,OBJ-004,HLR-004,LLR-004,build/CMakeFiles/tests_ata27_flight_ctrl_host.dir/src/tsn_sim.c.o,TEST-004,Statement,70.4%,coverage_html/index.html,IVV-02,Independent,2025-08-22,Reviewed,DET-1753,df49668
A-5_Object_Code,OBJ-005,HLR-005,LLR-005,build/CMakeFiles/integration_demo.dir/integration/system-of-systems/integration_demo.c.o,TEST-005,Branch,49.3%,coverage-branch.xml,IVV-03,Independent,2025-08-22,Reviewed,DET-DEDB,df49668
A-6_Testing,TEST-001,HLR-001,LLR-001,tests/ata27_flight_ctrl_host.c:77-112,TEST-001,Statement,70.4%,coverage_html/index.html,IVV-03,Independent,2025-08-22,Reviewed,DET-992D,df49668
A-6_Testing,TEST-002,HLR-002,LLR-002,integration/system-of-systems/integration_demo.c:29-91,TEST-002,Branch,49.3%,coverage-branch.xml,IVV-02,Independent,2025-08-22,Reviewed,DET-BD48,df49668
A-6_Testing,TEST-003,HLR-003,LLR-003,kernel/core/envelope_checker_tests.c:1-280,TEST-003,MCDC,≥95%,reports/mcdc.html,IVV-03,Independent,2025-08-22,Reviewed,DET-7A2F,df49668
A-6_Testing,TEST-004,HLR-004,LLR-004,kernel/core/envelope_checker_tests.c:87-103,TEST-004,Statement,70.4%,coverage_html/index.html,IVV-01,Independent,2025-08-22,Reviewed,DET-915F,df49668
